Kyle, Schwarber, 254, 63, 10, 1, 17, 52, 1, 10, 3, 3, 0, 1, 1, 0.248, 0.377, 0.496, 0.873, 126, 51.1169579288, 0.922680412371, 0.248, 0.452755905512, 7.0416217555, 0
Kyle, Seager, 352, 84, 22, 0, 16, 22, 4, 1, 1, 1, 0, 0, 2, 0.239, 0.289, 0.438, 0.727, 154, 46.4856315789, 0.669144981413, 0.199, 0.261363636364, 4.63140978831, 1
Jean, Segura, 353, 116, 24, 2, 7, 17, 1, 0, 14, 6, 0, 3, 5, 0.329, 0.356, 0.467, 0.824, 165, 61.1698153034, 0.786008230453, 0.138, 0.209631728045, 6.58001997288, 1
Marcus, Semien, 368, 93, 18, 2, 7, 30, 0, 0, 7, 2, 0, 1, 5, 0.253, 0.305, 0.37, 0.675, 136, 45.0934653465, 0.617328519856, 0.117, 0.211956521739, 4.30220340762, 1
Pedro, Severino, 181, 31, 9, 0, 2, 17, 4, 4, 1, 0, 0, 0, 1, 0.171, 0.256, 0.254, 0.51, 46, 13.1818719212, 0.453333333333, 0.083, 0.182320441989, 2.35702345611, 0
Travis, Shaw, 296, 72, 19, 0, 16, 45, 1, 4, 1, 2, 0, 1, 3, 0.243, 0.342, 0.47, 0.812, 139, 51.1338728324, 0.814159292035, 0.227, 0.375, 6.00267202815, 1
Andrelton, Simmons, 301, 94, 17, 2, 6, 27, 3, 2, 5, 2, 0, 1, 2, 0.312, 0.372, 0.442, 0.814, 133, 52.7595209581, 0.794258373206, 0.13, 0.229235880399, 6.71937295221, 1
Mallex, Smith, 254, 70, 13, 5, 1, 23, 3, 0, 15, 6, 0, 6, 1, 0.276, 0.342, 0.378, 0.72, 96, 35.8118466899, 0.689473684211, 0.102, 0.228346456693, 4.90822264278, 0
Justin, Smoak, 286, 69, 23, 0, 13, 53, 3, 2, 0, 1, 0, 0, 3, 0.241, 0.362, 0.458, 0.82, 131, 52.6910144928, 0.853211009174, 0.217, 0.398601398601, 6.43736376156, 1
Yangervis, Solarte, 344, 86, 18, 0, 16, 28, 2, 1, 1, 0, 0, 0, 2, 0.25, 0.309, 0.442, 0.75, 152, 49.7010638298, 0.709302325581, 0.192, 0.276162790698, 5.16126432079, 1
Jorge, Soler, 223, 59, 18, 0, 9, 28, 4, 0, 3, 0, 0, 0, 2, 0.265, 0.354, 0.466, 0.82, 104, 40.6915175097, 0.84756097561, 0.201, 0.340807174888, 6.61849983592, 0
Juan, Soto, 157, 49, 11, 0, 9, 31, 0, 2, 1, 0, 0, 0, 0, 0.312, 0.426, 0.554, 0.98, 87, 40.4510638298, 1.10185185185, 0.242, 0.445859872611, 10.1127659574, 1
Denard, Span, 253, 67, 13, 2, 8, 36, 1, 0, 6, 3, 0, 0, 3, 0.265, 0.355, 0.427, 0.782, 108, 42.1580204778, 0.783068783069, 0.162, 0.316205533597, 5.92847162969, 0
Cory, Spangenberg, 185, 43, 5, 2, 6, 6, 2, 0, 5, 1, 0, 2, 0, 0.232, 0.264, 0.378, 0.643, 70, 19.4153846154, 0.573426573427, 0.146, 0.2, 3.61527851459, 0
George, Springer, 361, 91, 17, 0, 15, 41, 5, 0, 6, 1, 0, 0, 2, 0.252, 0.335, 0.424, 0.759, 153, 56.2355012225, 0.752767527675, 0.172, 0.299168975069, 5.56175286816, 1
Giancarlo, Stanton, 350, 94, 18, 1, 22, 34, 6, 3, 2, 0, 0, 0, 4, 0.269, 0.34, 0.514, 0.854, 180, 65.5511675127, 0.8671875, 0.245, 0.348571428571, 6.80723662632, 0
Max, Stassi, 154, 39, 12, 0, 7, 16, 4, 0, 0, 0, 0, 0, 0, 0.253, 0.339, 0.468, 0.807, 72, 26.1770114943, 0.8, 0.215, 0.318181818182, 6.14590704648, 0
Trevor, Story, 346, 99, 25, 5, 17, 30, 5, 1, 11, 4, 0, 0, 3, 0.286, 0.349, 0.535, 0.884, 185, 68.0875, 0.90438247012, 0.249, 0.35549132948, 7.2376476378, 1
Eugenio, Suarez, 282, 89, 14, 2, 19, 39, 6, 4, 1, 0, 0, 0, 4, 0.316, 0.405, 0.582, 0.986, 164, 71.7608459215, 1.08808290155, 0.266, 0.40780141844, 9.83524284203, 1
Kurt, Suzuki, 211, 58, 14, 0, 8, 17, 7, 0, 0, 0, 0, 0, 4, 0.275, 0.343, 0.455, 0.798, 96, 35.7917991632, 0.78431372549, 0.18, 0.260663507109, 6.15527756309, 1
Dansby, Swanson, 288, 71, 18, 3, 7, 21, 1, 6, 3, 2, 0, 3, 0, 0.247, 0.3, 0.403, 0.703, 116, 35.8417891374, 0.634703196347, 0.156, 0.232638888889, 4.35913651671, 1
Chris, Taylor, 328, 84, 20, 8, 10, 33, 7, 0, 4, 4, 0, 0, 2, 0.256, 0.335, 0.457, 0.792, 150, 53.0335135135, 0.766129032258, 0.201, 0.301829268293, 5.72761945946, 0
Michael, A., 272, 66, 18, 2, 5, 25, 0, 1, 23, 5, 0, 2, 0, 0.243, 0.306, 0.379, 0.685, 103, 35.1593311037, 0.691943127962, 0.136, 0.294117647059, 4.45681661878, 0
Eric, Thames, 150, 38, 5, 2, 13, 19, 2, 3, 5, 0, 0, 0, 0, 0.253, 0.345, 0.573, 0.918, 86, 32.1843274854, 1.0, 0.32, 0.48, 7.75872180451, 1
Gleyber, Torres, 218, 64, 10, 1, 15, 17, 3, 2, 2, 1, 0, 1, 2, 0.294, 0.35, 0.555, 0.905, 121, 44.1794190871, 0.916129032258, 0.261, 0.344036697248, 7.54964756552, 0
Devon, Travis, 175, 40, 6, 2, 5, 9, 4, 1, 1, 1, 0, 0, 0, 0.229, 0.282, 0.371, 0.653, 65, 18.9855319149, 0.573529411765, 0.142, 0.194285714286, 3.7691864831, 1
